Timestamp,Event_Type,Activation_Operation,Network,Protocol,External_ID,Bandwidth_bps,Raw_Log
2026-09-07 05:59:08,started,,207.98.190.105/32,UDP,kentik_63785,0,"2026-09-07 05:59:08,611 | INFO  | [DFC00701] Protected object (null): attack started on network 207.98.190.105/32 protocol UDP external ID kentik_63785 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 05:59:09,ended,,24.192.1.184/32,N,kentik_63784,,"2026-09-07 05:59:09,806 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.192.1.184/32 protocol N/A external ID kentik_63784 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 05:59:09,started,,207.98.190.105/32,UDP,kentik_63785,0,"2026-09-07 05:59:09,553 | INFO  | [DFC00701] Protected object (null): attack started on network 207.98.190.105/32 protocol UDP external ID kentik_63785 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 06:40:24,ended,,207.98.190.105/32,N,kentik_63785,,"2026-09-07 06:40:24,469 | INFO  | [DFC00703] Protected object (null): attack ended on network 207.98.190.105/32 protocol N/A external ID kentik_63785 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 06:40:25,ended,,207.98.190.105/32,N,kentik_63785,,"2026-09-07 06:40:25,341 | INFO  | [DFC00703] Protected object (null): attack ended on network 207.98.190.105/32 protocol N/A external ID kentik_63785 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 08:26:11,started,,24.214.93.158/32,UDP,kentik_63787,0,"2026-09-07 08:26:11,551 | INFO  | [DFC00701] Protected object (null): attack started on network 24.214.93.158/32 protocol UDP external ID kentik_63787 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 08:26:12,started,,24.214.93.158/32,UDP,kentik_63787,0,"2026-09-07 08:26:12,626 | INFO  | [DFC00701] Protected object (null): attack started on network 24.214.93.158/32 protocol UDP external ID kentik_63787 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 09:07:26,ended,,24.214.93.158/32,N,kentik_63787,,"2026-09-07 09:07:26,882 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.214.93.158/32 protocol N/A external ID kentik_63787 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 09:07:27,ended,,24.214.93.158/32,N,kentik_63787,,"2026-09-07 09:07:27,713 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.214.93.158/32 protocol N/A external ID kentik_63787 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 11:40:42,started,,96.27.242.196/32,UDP,kentik_63788,41253504784,"2026-09-07 11:40:42,922 | INFO  | [DFC00701] Protected object (null): attack started on network 96.27.242.196/32 protocol UDP external ID kentik_63788 bandwidth 41253504784(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 12:21:58,ended,,96.27.242.196/32,N,kentik_63788,,"2026-09-07 12:21:58,254 | INFO  | [DFC00703] Protected object (null): attack ended on network 96.27.242.196/32 protocol N/A external ID kentik_63788 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 12:27:13,started,,143.59.170.144/32,UDP,kentik_63789,0,"2026-09-07 12:27:13,563 | INFO  | [DFC00701] Protected object (null): attack started on network 143.59.170.144/32 protocol UDP external ID kentik_63789 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 12:28:28,started,,76.73.140.120/32,UDP,kentik_63790,0,"2026-09-07 12:28:28,749 | INFO  | [DFC00701] Protected object (null): attack started on network 76.73.140.120/32 protocol UDP external ID kentik_63790 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 12:28:29,started,,76.73.140.120/32,UDP,kentik_63790,0,"2026-09-07 12:28:29,727 | INFO  | [DFC00701] Protected object (null): attack started on network 76.73.140.120/32 protocol UDP external ID kentik_63790 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 12:39:44,started,,50.4.40.65/32,UDP,kentik_63791,0,"2026-09-07 12:39:44,185 | INFO  | [DFC00701] Protected object (null): attack started on network 50.4.40.65/32 protocol UDP external ID kentik_63791 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 13:08:00,ended,,143.59.170.144/32,N,kentik_63789,,"2026-09-07 13:08:00,056 | INFO  | [DFC00703] Protected object (null): attack ended on network 143.59.170.144/32 protocol N/A external ID kentik_63789 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 13:09:15,ended,,76.73.140.120/32,N,kentik_63790,,"2026-09-07 13:09:15,278 | INFO  | [DFC00703] Protected object (null): attack ended on network 76.73.140.120/32 protocol N/A external ID kentik_63790 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 13:09:16,ended,,76.73.140.120/32,N,kentik_63790,,"2026-09-07 13:09:16,156 | INFO  | [DFC00703] Protected object (null): attack ended on network 76.73.140.120/32 protocol N/A external ID kentik_63790 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 13:14:30,started,,64.233.238.136/32,UDP,kentik_63792,0,"2026-09-07 13:14:30,700 | INFO  | [DFC00701] Protected object (null): attack started on network 64.233.238.136/32 protocol UDP external ID kentik_63792 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 13:20:46,ended,,50.4.40.65/32,N,kentik_63791,,"2026-09-07 13:20:46,543 | INFO  | [DFC00703] Protected object (null): attack ended on network 50.4.40.65/32 protocol N/A external ID kentik_63791 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 13:56:01,ended,,64.233.238.136/32,N,kentik_63792,,"2026-09-07 13:56:01,859 | INFO  | [DFC00703] Protected object (null): attack ended on network 64.233.238.136/32 protocol N/A external ID kentik_63792 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 14:15:17,started,,24.35.60.40/32,UDP,kentik_63793,0,"2026-09-07 14:15:17,097 | INFO  | [DFC00701] Protected object (null): attack started on network 24.35.60.40/32 protocol UDP external ID kentik_63793 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 14:57:33,ended,,24.35.60.40/32,N,kentik_63793,,"2026-09-07 14:57:33,081 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.35.60.40/32 protocol N/A external ID kentik_63793 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 15:10:48,started,,50.4.255.170/32,UDP,kentik_63794,0,"2026-09-07 15:10:48,533 | INFO  | [DFC00701] Protected object (null): attack started on network 50.4.255.170/32 protocol UDP external ID kentik_63794 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 15:10:49,started,,50.4.255.170/32,UDP,kentik_63794,0,"2026-09-07 15:10:49,609 | INFO  | [DFC00701] Protected object (null): attack started on network 50.4.255.170/32 protocol UDP external ID kentik_63794 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 15:13:04,started,,76.73.168.110/32,UDP,kentik_63795,0,"2026-09-07 15:13:04,520 | INFO  | [DFC00701] Protected object (null): attack started on network 76.73.168.110/32 protocol UDP external ID kentik_63795 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 15:14:19,started,,24.192.13.246/32,UDP,kentik_63796,0,"2026-09-07 15:14:19,715 | INFO  | [DFC00701] Protected object (null): attack started on network 24.192.13.246/32 protocol UDP external ID kentik_63796 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
