Attack Window Start,Attack Window End,Duration (mins),Destination IP,# Events,Peak pps,Peak bps,Threat Categories,Vectors (Attack Names),Protocols Seen,Dest Ports,Total Packets Dropped,Devices Involved,Policies,Max Risk
2026-09-02 21:20:01,2026-09-02 21:20:09,0.13,64.233.237.114,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-2_4@00923d-00004-0,Medium
2026-09-02 22:45:08,2026-09-02 22:45:16,0.13,24.214.221.14,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-1_1@009243-00003-0,Medium
2026-09-03 00:12:26,2026-09-03 00:28:05,15.65,24.214.60.118,72,5380.0,60192768.0,BehavioralDOS,network flood IPv4 UDP,UDP,64603,1094518,10.21.112.34,WOW-RESIDENTAL-1_1@009249-00003-0,High
2026-09-03 00:20:01,2026-09-03 00:20:09,0.13,69.14.64.25,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-2_1@009245-00004-0,Medium
2026-09-03 01:07:19,2026-09-03 01:07:27,0.13,24.236.64.193,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-1_2@00924b-00003-0,Medium
2026-09-03 01:16:23,2026-09-03 05:29:08,252.75,23.28.115.101,876,2007.0,20197376.0,"BehavioralDOS, Intrusions",Memcached-Server-Reflect; network flood IPv4 UDP,UDP,"11211,49690",9066381,"10.21.112.34, 10.98.221.234",WOW-RESIDENTAL-1_3@00924d-00003-0,High
2026-09-03 01:21:36,2026-09-03 01:21:44,0.13,24.214.60.118,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-1_1@009249-00003-0,Medium
2026-09-03 11:04:34,2026-09-03 11:27:30,22.93,24.96.241.65,104,525.0,6078464.0,BehavioralDOS,network flood IPv4 UDP,UDP,"28986,40218,54910,57989",425900,"10.35.193.90, 10.98.221.234",WOW-RESIDENTAL-1_3@00925f-00003-0,High
2026-09-03 13:59:22,2026-09-03 14:02:52,3.5,143.59.170.201,19,5947.0,72953856.0,BehavioralDOS,network flood IPv4 UDP,UDP,34989,473087,10.21.112.34,WOW-RESIDENTAL-2_1@00926f-00004-0,High
2026-09-03 14:17:42,2026-09-03 15:07:57,50.25,143.59.170.201,229,7448.0,91273216.0,BehavioralDOS,network flood IPv4 UDP,UDP,34989,8264556,10.21.112.34,WOW-RESIDENTAL-2_1@00926f-00004-0,High
2026-09-03 14:55:55,2026-09-03 14:56:03,0.13,67.149.62.19,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.21.112.34,WOW-RESIDENTAL-2_4@009271-00004-0,Medium
2026-09-03 17:50:37,2026-09-03 18:27:30,36.88,76.73.169.231,170,9058.0,110923776.0,BehavioralDOS,network flood IPv4 UDP,UDP,59026,7305320,10.98.221.234,WOW-RESIDENTAL-2_1@009281-00004-0,High
2026-09-03 18:35:46,2026-09-03 18:36:16,0.5,76.73.169.231,3,480.0,5872640.0,BehavioralDOS,network flood IPv4 UDP,UDP,59026,11364,10.98.221.234,WOW-RESIDENTAL-2_1@009281-00004-0,High
2026-09-04 11:35:31,2026-09-04 11:37:10,1.65,67.149.121.137,12,439.0,5351424.0,BehavioralDOS,network flood IPv4 UDP,UDP,53685,55795,10.98.221.234,WOW-RESIDENTAL-2_2@0092ba-00004-0,High
2026-09-04 20:30:37,2026-09-04 20:41:31,10.9,143.59.100.157,39,464.0,5490688.0,BehavioralDOS,network flood IPv4 UDP,UDP,60140,129252,10.35.193.82,WOW-RESIDENTAL-1_6@009303-00003-0,High
